Hours,T_In,T_Out
0,NaN,NaN
0.0833333333333333,29.07,49.9
0.166666666666667,34.16,50.41
0.25,37.86,48.71
0.333333333333333,40.24,49.62
0.416666666666667,42.22,50.75
0.5,42.8,49.47
0.583333333333333,45,50.72
0.666666666666667,47.74,49.28
0.75,47.68,49.93
0.833333333333333,45.06,49.3
0.916666666666667,43.43,52.42
1,47.14,52.16
1.08333333333333,44.4,52.03
1.16666666666667,42.8900000000001,39.7100000000001
1.25,40.13,51.85
1.33333333333333,40.75,49.65
1.41666666666667,41.84,51.8
1.5,40.87,49.49
1.58333333333333,41.58,50.65
1.66666666666667,5.62000000000145,50.1400000000001
1.75,42.6,51.59
1.83333333333333,42.25,51.77
1.91666666666667,43.05,49.6900000000001
2,44.52,53.31
2.08333333333333,43.72,52.4099999999998
2.16666666666667,45.46,50.18
2.25,46.99,52.61
2.33333333333333,47.17,55.2600000000001
2.41666666666667,48.47,55.16
2.5,49.55,57
2.58333333333333,48.68,56.3000000000001
2.66666666666667,47.81,56.52
2.75,48.63,54.97
2.83333333333333,50.7199999999999,54.37
2.91666666666667,49.47,53.27
3,49.73,66.46
3.08333333333333,53.12,46.0700000000001
3.16666666666667,52.3,50.42
3.25,52.46,59.2
3.33333333333333,52.2299999999999,56.3999999999996
3.41666666666667,51.57,66.3
3.5,52.58,58.7
3.58333333333333,52.4,45.8099999999998
3.66666666666667,50.99,59.06
3.75,52.41,53.99
3.83333333333333,51.93,62.5200000000001
3.91666666666667,51.85,50.2
4,52.56,51.04
4.08333333333333,55.4,49.41
4.16666666666667,52.42,60.5899999999997
4.25,52.79,48
4.33333333333333,52.75,59.38
4.41666666666667,53.06,49.6400000000002
4.5,52.38,51.63
4.58333333333333,55.81,48.07
4.66666666666667,51.63,63.1099999999992
4.75,49.93,51.62
4.83333333333333,55.76,49.25
4.91666666666667,52.1200000000001,47.5699999999997
5,51.81,65.07
5.08333333333333,52.66,49.89
5.16666666666667,51.7300000000002,47.7099999999998
5.25,52.62,52.81
5.33333333333333,52.09,60.23
5.41666666666667,52.0899999999998,56.3099999999996
5.5,53.45,50.34
5.58333333333333,51.13,65.28
5.66666666666667,52.07,46.6400000000001
5.75,52.7,50.54
5.83333333333333,53.4,62.29
5.91666666666667,52.6599999999999,48.9899999999998
6,52.45,54.48
6.08333333333333,53.1,51.91
6.16666666666667,52.6499999999999,61.8100000000002
6.25,52.21,57.07
6.33333333333333,52.61,52.28
6.41666666666667,52.3999999999999,56.9800000000003
6.5,52.54,57.63
6.58333333333333,51.9,58.48
6.66666666666667,53,49.9899999999999
6.75,52.45,53.75
6.83333333333333,52.16,63.86
6.91666666666667,52.2000000000001,47.4700000000001
7,52.56,52.38
7.08333333333333,52.93,53.24
7.16666666666667,52.1,62.1199999999998
7.25,51.86,55.68
7.33333333333333,52.88,52.18
7.41666666666667,53.1399999999999,56.1200000000002
7.5,52.84,57.82
7.58333333333333,51.88,56.67
7.66666666666667,52.76,48.5800000000004
7.75,53.77,53.76
7.83333333333333,51.68,59.12
7.91666666666667,53.4999999999999,48.13
8,52.71,58.39
8.08333333333333,52.4500000000002,57.1800000000006
8.16666666666667,52.57,54.57
8.25,52.36,55.26
8.33333333333333,52.3000000000001,57.0599999999995
8.41666666666667,52.93,61.41
8.5,52.45,52.17
