Hours,kWh
0,0.015
0.0166666666666667,0.017
0.0333333333333333,0.019
0.05,0.021
0.0666666666666667,0.022
0.0833333333333333,0.025
0.1,0.026
0.116666666666667,0.027
0.133333333333333,0.029
0.15,0.031
0.166666666666667,0.032
0.183333333333333,0.033
0.2,0.034
0.216666666666667,0.035
0.233333333333333,0.037
0.25,0.039
0.266666666666667,0.041
0.283333333333333,0.042
0.3,0.043
0.316666666666667,0.045
0.333333333333333,0.047
0.35,0.048
0.366666666666667,0.05
0.383333333333333,0.051
0.4,0.053
0.416666666666667,0.054
0.433333333333333,0.055
0.45,0.057
0.466666666666667,0.058
0.483333333333333,0.06
0.5,0.062
0.516666666666667,0.064
0.533333333333333,0.066
0.55,0.068
0.566666666666667,0.069
0.583333333333333,0.07
0.6,0.072
0.616666666666667,0.073
0.633333333333333,0.075
0.65,0.076
0.666666666666667,0.077
0.683333333333333,0.078
0.7,0.08
0.716666666666667,0.081
0.733333333333333,0.082
0.75,0.084
0.766666666666667,0.085
0.783333333333333,0.086
0.8,0.088
0.816666666666667,0.089
0.833333333333333,0.09
0.85,0.092
0.866666666666667,0.093
0.883333333333333,0.095
0.9,0.096
0.916666666666667,0.097
0.933333333333333,0.098
0.95,0.099
0.966666666666667,0.101
0.983333333333333,0.102
1,0.103
1.01666666666667,0.105
1.03333333333333,0.105
1.05,0.106
1.06666666666667,0.108
1.08333333333333,0.109
1.1,0.11
1.11666666666667,0.111
1.13333333333333,0.112
1.15,0.113
1.16666666666667,0.114
1.18333333333333,0.116
1.2,0.117
1.21666666666667,0.118
1.23333333333333,0.119
1.25,0.12
1.26666666666667,0.121
1.28333333333333,0.122
1.3,0.123
1.31666666666667,0.124
1.33333333333333,0.125
1.35,0.127
