Hours,T_In,T_Out
0,40.05,36.35
0.00555,39.8402,36.2912
0.0111,39.672,36.1548
0.01665,39.593,36.1624
0.0222,39.5144,36.1388
0.02775,39.463,36.017
0.0333,39.344,36.1344
0.03885,39.2926,36.0998
0.0444,39.1872,36.0716
0.04995,38.999,36.0154
0.0555,38.956,35.924
0.06105,38.8088,35.8666
0.0666,38.6944,35.8516
0.07215,38.5886,35.794
0.0777,38.5156,35.744
0.08325,38.527,35.694
0.0888,41.0036,41.4612
0.09435,41.1052,51.2722
0.0999,40.9988,60.4652
0.10545,41.8775,67.7822
0.111,42.05,71.374
0.11655,42.4586,67.002
0.1221,42.7672,70.77
0.12765,44.0404,67.9375999999999
0.1332,44.4668,70.8452
0.13875,45.04,68.285
0.1443,45.3907999999999,71.122
0.14985,46.3498,68.3914
0.1554,47.114,71.3436
0.16095,47.8992,68.1870000000001
0.1665,48.708,71.032
0.17205,49.6086000000001,68.6046
0.1776,50.2692,71.2336
0.18315,51.0536,69.6234
0.1887,51.5916,70.0040000000001
0.19425,52.18,71.175
0.1998,53.1992,68.76
0.20535,54.0158,71.291
0.2109,54.0364,68.6704
0.21645,55.2864,75.727
0.222,55.42,71.47
0.22755,54.394,68.8764
0.2331,57.1522,72.8658
0.23865,55.646,66.3598
0.2442,58.0704,71.0376
0.24975,58.483,72.4
0.2553,55.8507999999999,66.9572
0.26085,58.8944,73.0588
0.2664,59.356,70.6652
0.27195,60.0224000000001,72.0632000000001
0.2775,61.5200000000001,72.5300000000001
0.28305,56.6031999999993,63.7205999999997
0.2886,60.786,73.2676
0.29415,61.4772,72.5458
0.2997,63.6788,70.6224
0.30525,60.799,67.9430000000001
0.3108,63.1379999999999,76.1911999999999
0.31635,60.6388000000003,68.6953999999997
0.3219,64.9768,76.1288
0.32745,65.1898,72.3514
0.333,63.506,67.1559999999998
0.33855,63.671,72.817
0.3441,63.4076,69.6799999999998
0.34965,63.0892,70.866
0.3552,63.0084,70.8536
0.36075,63.1485,69.1445
0.3663,63.202,71.6648
0.37185,63.3780000000001,69.8772000000002
0.3774,63.3456000000001,70.5616000000001
0.38295,65.3394,71.627
0.3885,64.086,69.8860000000001
0.39405,64.4754000000001,70.6566
0.3996,63.8804,72.0284
0.40515,64.1823999999998,70.8847999999998
0.4107,63.5435999999999,71.512
0.41625,56.89,67.28
0.4218,57.2364,72.7048
0.42735,56.3064,68.4778
0.4329,59.778,70.4796
0.43845,59.7606000000001,65.3098
0.444,60.442,72.222
0.44955,58.7276,70.1062
0.4551,58.4816,71.464
0.46065,58.7584,69.6448000000001
0.4662,58.4964,70.7720000000001
0.47175,58.92,70.749
0.4773,59.3976,70.3972
0.48285,59.41,70.3988
0.4884,59.4795999999999,70.0292000000001
0.49395,60.083,71.5578
0.4995,60.656,68.934
0.50505,60.7172,72.7446
0.5106,60.1356000000001,70.2152000000001
0.51615,62.2946,73.4577999999999
0.5217,62.526,74.1616
0.52725,60.859,68.546
0.5328,60.1284,72.6724
0.53835,60.4712,69.5712
0.5439,60.4236000000001,70.9392000000002
0.54945,60.8827,70.4232
0.555,61.26,70.57
0.56055,60.9454,70.3610000000001
0.5661,59.6183999999998,69.762
0.57165,61.7644,71.0464
0.5772,62.2396000000004,69.3252000000001
0.58275,61.951,71.4390000000001
0.5883,62.01,66.4615999999999
0.59385,62.6230000000001,72.1552
0.5994,62.8992,69.0368
0.60495,61.8418,71.5524
0.6105,62.778,71.576
0.61605,59.4770000000002,67.2748000000001
0.6216,59.6856,72.8128
0.62715,57.7752,69.405
0.6327,58.5508,70.1576000000001
0.63825,58.307,70.0499999999999
0.6438,58.8276,70.6512
0.64935,59.1917999999999,70.2029999999998
0.6549,59.1668,71.0276
0.66045,59.3447999999999,69.5355999999998
0.666,55.126,65.9679999999998
0.67155,55.111,71.8908
0.6771,54.59,69.6723999999999
0.68265,55.6012,70.9264
0.6882,55.1844000000002,68.5487999999998
0.69375,56.565,70.9
0.6993,56.826,69.8603999999999
0.70485,57.1234000000002,70.8298
0.7104,57.474,70.3604
0.71595,57.3745999999999,70.2534000000001
0.7215,57.914,70.4620000000001
0.72705,58.0242000000002,69.1184000000002
0.7326,59.4024,71.7496
0.73815,59.6558000000001,69.22
0.7437,60.7364,72.318
0.74925,61.2410000000001,68.8820000000003
0.7548,61.8148,72.1896000000001
0.76035,62.1470000000001,70.1692000000001
0.7659,62.2624,69.9888
0.77145,62.589,71.2286
0.777,63.0339999999999,69.7640000000001
0.78255,64.1429999999998,73.1507999999998
0.7881,64.0592,69.4163999999999
0.79365,65.2966000000001,74.8822
0.7992,66.1716,76.304
0.80475,66.0735,72.8505
0.8103,64.3700000000001,68.1008000000002
0.81585,65.2972,72.8628
0.8214,65.0520000000001,69.7448000000001
0.82695,65.5984,72.356
0.8325,65.49,70.69
0.83805,65.8476,70.2496000000001
0.8436,66.0088,72.1115999999999
0.84915,64.5688,67.6098
0.8547,65.4656,73.0375999999999
0.86025,66.0310000000001,70.335
0.8658,66.3532,71.61
0.87135,65.5305999999999,71.8614000000002
0.8769,65.5939999999999,69.9324000000001
0.88245,66.9564,72.4332
0.888,66.282,69.5899999999999
0.89355,67.3184000000002,71.6704
0.8991,66.9312,69.314
0.90465,66.6344,73.0436
0.9102,65.72,68.7051999999999
0.91575,66.279,72.275
0.9213,66.3292,72.0432
0.92685,65.2621999999995,69.256
0.9324,67.2956,72.6486
0.93795,65.8529999999997,68.8452
0.9435,66.3400000000002,72.4600000000001
0.94905,67.0260000000001,70.0226
0.9546,67.0252,72.5564
0.96015,66.7942,70.7880000000002
0.9657,66.4884000000001,70.9239999999998
0.97125,67.69,70.91
0.9768,66.2359999999999,68.9276000000001
0.98235,67.5666000000002,72.1254
0.9879,67.0068,69.3248
0.99345,67.0766000000001,72.5128000000003
0.999,67.2000000000001,70.444
1.00455,67.7529999999999,71.5794000000001
1.0101,67.2027999999999,71.2548000000001
1.01565,66.8072,69.369
1.0212,67.9131999999998,72.5171999999999
1.02675,67.5529999999999,68.5089999999997
1.0323,67.6812,72.2771999999999
1.03785,67.6408,70.9503999999999
1.0434,68.8867999999999,70.9808000000003
1.04895,68.3226000000002,71.6361999999992
1.0545,66.9520000000004,69.644
1.06005,67.6902000000001,72.4775999999999
1.0656,68.7019999999994,68.5871999999989
1.07115,68.0560000000002,72.9111999999999
1.0767,67.8352,70.3732
1.08225,68.2499999999999,71.4020000000001
1.0878,68.3595999999999,71.764
1.09335,67.8402000000003,69.4328000000001
1.0989,68.4463999999998,72.3508
1.10445,68.1339999999997,68.7273999999994
1.11,68.3999999999996,72.59
1.11555,68.3125999999999,70.1023999999996
1.1211,68.4971999999999,71.5707999999999
1.12665,68.8083999999998,71.8678000000004
1.1322,68.3104000000002,69.4588
1.13775,68.931,72.5760000000001
1.1433,68.2648,68.9832
1.14885,68.4049999999998,72.7792000000002
1.1544,68.5404,69.7923999999999
1.15995,69.1833999999999,71.5648000000001
1.1655,69.464,70.612
1.17105,68.8844,71.3665999999995
1.1766,69.1340000000001,71.4659999999997
1.18215,69.4123999999999,69.3533999999997
1.1877,69.4788000000003,72.2400000000006
1.19325,69.3150000000001,68.6569999999995
1.1988,69.3652000000002,71.8636
1.20435,68.9121999999998,69.1608000000005
1.2099,69.6744,71.982
1.21545,69.5534000000004,70.2362999999999
1.221,69.3900000000005,70.5799999999993
1.22655,69.8788000000002,69.8617999999996
1.2321,69.4752,69.2767999999998
1.23765,69.8364000000002,72.2313999999999
1.2432,69.2011999999998,69.6159999999986
1.24875,70.265,71.3900000000003
1.2543,70.1411999999999,70.2747999999999
1.25985,69.4439999999999,69.7698000000006
1.2654,69.7467999999999,71.2227999999999
1.27095,69.5444,68.3262000000002
1.2765,70.026,71.822
1.28205,69.4736000000002,69.5230000000003
1.2876,70.1120000000005,70.6639999999998
1.29315,70.7023999999999,70.9516000000001
1.2987,70.2339999999997,69.7428000000001
1.30425,70.0949999999993,68.607
1.3098,69.6680000000001,70.4688000000003
1.31535,70.0388000000002,69.7245999999999
1.3209,69.3728,68.186
1.32645,70.1268000000003,72.0358000000003
1.332,70.084,69.9799999999999
1.33755,69.8204000000005,70.1293999999999
1.3431,69.8264000000001,70.657
1.34865,70.2961999999989,69.6965999999993
1.3542,69.8408000000001,71.0276
1.35975,69.7499999999999,69.7489999999999
1.3653,69.8744,70.0596000000001
1.37085,70.5994000000002,69.3387999999996
1.3764,69.7108000000003,68.9239999999998
1.38195,69.8174,70.0646000000002
1.3875,69.98,69.14
1.39305,70.1099999999997,69.8702
1.3986,70.1644000000001,70.1708000000005
1.40415,70.4200000000008,68.8699999999998
1.4097,70.8744000000003,70.1263999999996
1.41525,69.8640000000002,69.1290000000012
1.4208,69.8879999999993,69.5544000000003
1.42635,70.2202,69.5477999999999
1.4319,69.9619999999999,68.5959999999992
1.43745,69.9495999999999,69.5997999999999
1.443,69.8799999999998,68.9980000000001
1.44855,70.0426000000001,69.7704
1.4541,70.4956000000003,70.8804000000005
1.45965,70.0075999999998,68.9548000000004
1.4652,69.8924000000001,70.2636000000001
1.47075,68.5289999999999,69.2945000000001
1.4763,70.2564,69.5852000000007
1.48185,70.0746000000002,69.2989999999994
1.4874,69.9092000000002,70.0796000000002
1.49295,70.2873999999999,69.3516000000001
1.4985,70.4160000000003,70.2640000000003
1.50405,69.2729999999994,68.1542
1.5096,70.7,69.5359999999999
1.51515,69.8453999999999,69.34
1.5207,70.3100000000014,67.8404000000014
1.52625,70.695,68.73
1.5318,70.5203999999997,69.1576000000006
1.53735,70.2687999999996,68.5537999999992
1.5429,69.8291999999996,69.6624
1.54845,69.7788000000007,69.6180000000003
1.554,70.6160000000001,69.0759999999991
1.55955,70.0198,69.5238
1.5651,70.5204000000001,68.3664000000009
1.57065,68.4060000000017,67.8562000000017
1.5762,70.2768000000003,68.8924000000004
1.58175,70.419,68.4930000000003
1.5873,69.7979999999999,68.4600000000007
1.59285,70.3168000000002,69.6316000000006
1.5984,69.8887999999999,68.3311999999996
1.60395,69.9882000000002,69.3039999999995
1.6095,63.4899999999992,65.346
1.61505,61.0539999999994,71.6818000000003
1.6206,60.2012000000001,71.2275999999997
1.62615,61.1457,69.7667
1.6317,60.37,71.066
1.63725,60.1759999999999,69.6010000000005
1.6428,60.1527999999999,71.4476000000005
1.64835,60.2062000000001,67.7950000000009
1.6539,59.9340000000006,72.0199999999997
1.65945,61.359,68.5838000000016
1.665,61.3199999999994,71.9999999999998
1.67055,60.6766,68.2892000000001
1.6761,61.1628000000002,72.2052000000003
1.68165,61.0695999999997,69.27
1.6872,61.7599999999999,71.1404
1.69275,60.6849999999999,70.257
1.6983,61.1664000000002,71.6552000000004
1.70385,61.4895999999999,70.1778000000002
1.7094,61.3547999999998,70.6091999999999
1.71495,61.7040000000001,69.9011999999998
1.7205,61.856,70.4340000000001
1.72605,61.2597999999987,70.7304000000005
1.7316,61.9252,69.6612
1.73715,61.869,70.8898000000001
1.7427,61.4431999999994,69.9899999999994
1.74825,62.2680000000001,71.2480000000002
1.7538,61.6827999999998,69.1283999999999
1.75935,62.2278000000001,70.8817999999999
1.7649,62.3571999999995,69.6016000000004
1.77045,62.4592000000005,71.5115999999998
1.776,62.8540000000001,68.8859999999995
1.78155,62.4076000000002,72.2834000000007
1.7871,61.7383999999999,68.8320000000002
1.79265,62.9995999999998,71.1061999999993
1.7982,62.4664,69.1235999999998
1.80375,62.5450000000006,71.6649999999996
1.8093,62.9712000000003,69.0323999999996
1.81485,62.7388000000002,71.5276
1.8204,62.7168,69.5739999999999
1.82595,63.1536000000006,71.4271999999991
1.8315,63.1579999999992,70.0759999999994
1.83705,62.6326000000006,70.8453999999994
1.8426,62.7700000000004,70.7392
1.84815,63.3038000000005,70.0736000000013
1.8537,63.2556000000006,70.8472000000001
1.85925,63.374,70.4629999999998
1.8648,63.108,71.3128
1.87035,63.6564000000001,68.1554000000007
1.8759,63.4860000000003,71.6468000000004
1.88145,63.8394999999997,69.4760000000002
