Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-26 07:49:18,20.53,34.85,,-55,3.006,0.02,0.06,1.016,166,4,34747
2026-01-26 07:49:19,20.55,34.84,,-49,3.006,0.024,0.052,1.02,166,4,34748
2026-01-26 07:49:21,20.55,34.8,,-51,3.006,0.024,0.06,1.02,166,4,34749
2026-01-26 07:49:25,20.56,34.78,,-52,3.006,0.028,0.056,1.02,166,4,34750
2026-01-26 07:49:26,20.57,34.74,,-49,3.006,0.024,0.056,1.016,166,4,34751
2026-01-26 07:49:29,20.56,34.73,,-51,3.006,0.02,0.056,1.02,166,4,34752
2026-01-26 07:49:31,20.56,34.72,,-54,3.006,0.016,0.052,1.016,166,4,34753
2026-01-26 07:49:35,20.55,34.73,,-59,3.006,0.028,0.052,1.024,166,4,34754
2026-01-26 07:49:37,20.56,34.73,,-58,2.999,0.02,0.056,1.016,166,4,34755
2026-01-26 07:49:39,20.55,34.69,,-58,2.999,0.02,0.052,1.016,166,4,34756
2026-01-26 07:49:47,20.54,34.71,,-58,2.999,0.024,0.06,1.016,166,4,34759
2026-01-26 07:49:49,20.56,34.71,,-56,2.999,0.032,0.056,1.02,166,4,34760
2026-01-26 07:49:52,20.55,34.71,,-61,2.999,0.02,0.06,1.02,166,4,34761
2026-01-26 07:49:56,20.57,34.72,,-68,2.999,0.02,0.052,1.012,166,4,34762
2026-01-26 07:49:58,20.57,34.71,,-57,2.999,0.024,0.052,1.02,166,4,34763
2026-01-26 07:50:01,20.57,34.73,,-61,2.999,0.024,0.048,1.024,166,4,34764
2026-01-26 07:50:03,20.55,34.71,,-54,2.999,0.02,0.06,1.02,166,4,34765
2026-01-26 07:50:05,20.57,34.73,,-59,2.999,0.02,0.056,1.02,166,4,34766
2026-01-26 07:50:07,20.57,34.71,,-55,2.999,0.024,0.052,1.02,166,4,34767
2026-01-26 07:50:10,20.57,34.72,,-61,2.999,0.02,0.06,1.012,166,4,34768
2026-01-26 07:50:12,20.57,34.73,,-54,2.999,0.028,0.052,1.02,166,4,34769
2026-01-26 07:50:15,20.56,34.71,,-57,2.999,0.024,0.056,1.012,166,4,34770
2026-01-26 07:50:23,20.56,34.71,,-63,2.999,0.028,0.056,1.02,166,4,34773
2026-01-26 07:50:27,20.57,34.69,,-70,2.999,0.012,0.056,1.016,166,4,34774
2026-01-26 07:50:29,20.57,34.69,,-56,2.999,0.024,0.056,1.02,166,4,34775
2026-01-26 07:50:32,20.57,34.7,,-61,2.999,0.02,0.06,1.016,166,4,34776
2026-01-26 07:50:34,20.57,34.67,,-70,2.999,0.024,0.056,1.016,166,4,34777
2026-01-26 07:50:37,20.56,34.66,,-59,2.995,0.02,0.052,1.02,166,4,34778
2026-01-26 07:50:39,20.57,34.67,,-66,2.995,0.024,0.052,1.016,166,4,34779
2026-01-26 07:50:41,20.57,34.67,,-62,2.995,0.028,0.056,1.012,166,4,34780
2026-01-26 07:50:43,20.57,34.65,,-80,2.995,0.028,0.06,1.02,166,4,34781
2026-01-26 07:50:47,20.58,34.66,,-56,2.995,0.024,0.06,1.016,166,4,34782
2026-01-26 07:50:50,20.57,34.66,,-60,2.995,0.024,0.052,1.02,166,4,34783
2026-01-26 07:50:51,20.58,34.67,,-56,2.995,0.02,0.052,1.02,166,4,34784
2026-01-26 07:50:55,20.59,34.67,,-58,2.995,0.028,0.056,1.02,166,4,34785
