Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-26 07:50:33,20.45,32.76,,-76,3.041,-0.924,0.316,-0.08,110,4,34827
2026-01-26 07:50:35,20.42,32.74,,-75,3.041,-0.916,0.328,-0.08,110,4,34828
2026-01-26 07:50:37,20.45,32.77,,-69,3.052,-0.924,0.32,-0.08,110,4,34829
2026-01-26 07:50:46,20.44,32.78,,-68,3.052,-0.916,0.32,-0.072,110,4,34832
2026-01-26 07:50:53,20.45,32.77,,-71,3.052,-0.928,0.324,-0.076,110,4,34835
2026-01-26 07:50:55,20.45,32.76,,-70,3.052,-0.928,0.324,-0.08,110,4,34836
2026-01-26 07:50:58,20.45,32.75,,-62,3.052,-0.924,0.328,-0.08,110,4,34837
2026-01-26 07:51:02,20.45,32.76,,-68,3.052,-0.924,0.316,-0.076,110,4,34838
2026-01-26 07:51:03,20.45,32.79,,-61,3.052,-0.92,0.316,-0.072,110,4,34839
2026-01-26 07:51:07,20.45,32.76,,-73,3.052,-0.916,0.324,-0.068,110,4,34840
2026-01-26 07:51:08,20.44,32.76,,-70,3.052,-0.92,0.328,-0.076,110,4,34841
2026-01-26 07:51:12,20.44,32.72,,-69,3.052,-0.912,0.324,-0.072,110,4,34842
2026-01-26 07:51:17,20.44,32.78,,-65,3.052,-0.924,0.324,-0.076,110,4,34844
2026-01-26 07:51:20,20.45,32.77,,-75,3.052,-0.92,0.32,-0.072,110,4,34845
2026-01-26 07:51:26,20.44,32.75,,-67,3.052,-0.928,0.328,-0.072,110,4,34848
2026-01-26 07:51:30,20.45,32.76,,-69,3.052,-0.92,0.324,-0.076,110,4,34849
2026-01-26 07:51:33,20.44,32.75,,-72,3.052,-0.924,0.32,-0.076,110,4,34850
2026-01-26 07:51:35,20.44,32.76,,-71,3.052,-0.92,0.324,-0.088,110,4,34851
2026-01-26 07:51:36,20.44,32.76,,-67,3.045,-0.916,0.328,-0.072,110,4,34852
2026-01-26 07:51:39,20.45,32.74,,-62,3.045,-0.916,0.324,-0.076,110,4,34853
2026-01-26 07:51:42,20.44,32.75,,-71,3.045,-0.916,0.32,-0.076,110,4,34854
2026-01-26 07:51:45,20.45,32.76,,-65,3.045,-0.92,0.324,-0.072,110,4,34855
2026-01-26 07:51:53,20.44,32.73,,-72,3.045,-0.924,0.316,-0.076,110,4,34858
2026-01-26 07:51:54,20.45,32.73,,-65,3.045,-0.924,0.324,-0.076,110,4,34859
2026-01-26 07:51:57,20.45,32.75,,-73,3.045,-0.92,0.324,-0.072,110,4,34860
2026-01-26 07:52:01,20.43,32.74,,-66,3.045,-0.924,0.32,-0.072,110,4,34861
2026-01-26 07:52:02,20.45,32.73,,-68,3.045,-0.924,0.32,-0.08,110,4,34862
2026-01-26 07:52:05,20.44,32.76,,-70,3.045,-0.924,0.32,-0.076,110,4,34863
2026-01-26 10:02:58,23.73,40.52,,-66,3.062,-0.18,-0.256,-0.924,189,4,37919
2026-01-26 10:03:04,23.74,40.53,,-83,3.062,-0.188,-0.264,-0.924,189,4,37921
2026-01-26 10:03:06,23.74,40.54,,-50,3.062,-0.176,-0.256,-0.936,189,4,37922
2026-01-26 10:03:09,23.74,40.55,,-54,3.062,-0.176,-0.256,-0.936,189,4,37923
2026-01-26 10:03:13,23.74,40.55,,-54,3.062,-0.184,-0.252,-0.932,189,4,37924
2026-01-26 10:03:15,23.76,40.53,,-51,3.062,-0.18,-0.264,-0.924,189,4,37925
2026-01-26 10:03:25,23.79,40.57,,-54,3.062,-0.18,-0.272,-0.92,189,4,37929
2026-01-26 10:03:28,23.78,40.59,,-50,3.062,-0.184,-0.248,-0.936,189,4,37930
2026-01-26 10:03:29,23.78,40.58,,-50,3.062,-0.176,-0.252,-0.936,189,4,37931
2026-01-26 10:03:36,23.79,40.57,,-63,3.062,-0.172,-0.268,-0.912,189,4,37933
2026-01-26 10:03:38,23.79,40.61,,-54,3.062,-0.168,-0.26,-0.928,189,4,37934
2026-01-26 10:03:41,23.81,40.6,,-56,3.062,-0.176,-0.256,-0.924,189,4,37935
2026-01-26 10:03:45,23.81,40.62,,-55,3.062,-0.184,-0.268,-0.92,189,4,37937
2026-01-26 10:03:48,23.83,40.64,,-53,3.062,-0.18,-0.26,-0.932,189,4,37938
2026-01-26 10:03:51,23.82,40.63,,-55,3.062,-0.176,-0.272,-0.916,189,4,37939
2026-01-26 10:03:55,23.83,40.65,,-57,3.062,-0.176,-0.256,-0.92,189,4,37941
2026-01-26 10:04:00,23.83,40.65,,-53,3.062,-0.18,-0.256,-0.916,189,4,37943
2026-01-26 10:04:03,23.84,40.66,,-54,3.062,-0.168,-0.252,-0.944,189,4,37944
2026-01-26 10:04:26,23.89,40.7,,-52,3.062,-0.176,-0.26,-0.92,189,4,37953
2026-01-26 10:04:30,23.86,40.7,,-52,3.069,-0.172,-0.264,-0.92,189,4,37954
2026-01-26 10:04:32,23.87,40.7,,-52,3.069,-0.176,-0.26,-0.932,189,4,37955
2026-01-26 10:04:35,23.89,40.73,,-49,3.069,-0.18,-0.264,-0.932,189,4,37956
2026-01-26 10:04:36,23.89,40.72,,-48,3.069,-0.172,-0.264,-0.924,189,4,37957
2026-01-26 10:04:39,23.89,40.74,,-63,3.069,-0.148,-0.268,-0.928,189,4,37958
2026-01-26 10:04:41,23.89,40.72,,-59,3.069,-0.16,-0.268,-0.924,189,4,37959
2026-01-26 10:04:44,23.89,40.74,,-57,3.069,-0.176,-0.268,-0.916,189,4,37960
2026-01-26 10:04:48,23.92,40.72,,-63,3.069,-0.184,-0.244,-0.928,189,4,37961
2026-01-26 10:04:50,23.9,40.75,,-62,3.069,-0.184,-0.252,-0.936,189,4,37962
2026-01-26 10:04:53,23.92,40.75,,-63,3.069,-0.176,-0.256,-0.92,189,4,37963
2026-01-26 10:04:57,23.92,40.76,,-63,3.069,-0.184,-0.264,-0.928,189,4,37965
2026-01-26 10:04:59,23.92,40.76,,-69,3.069,-0.172,-0.256,-0.932,189,4,37966
2026-01-26 10:05:02,23.94,40.78,,-62,3.069,-0.176,-0.264,-0.92,189,4,37967
2026-01-26 10:05:04,23.94,40.78,,-66,3.069,-0.184,-0.252,-0.924,189,4,37968
2026-01-26 10:05:07,23.92,40.77,,-64,3.069,-0.188,-0.252,-0.928,189,4,37969
2026-01-26 10:05:09,23.94,40.78,,-70,3.069,-0.176,-0.264,-0.916,189,4,37970
2026-01-26 10:05:12,23.96,40.78,,-71,3.069,-0.172,-0.252,-0.92,189,4,37971
2026-01-26 10:05:15,23.95,40.78,,-60,3.069,-0.176,-0.264,-0.924,189,4,37972
2026-01-26 10:05:17,23.95,40.8,,-66,3.069,-0.184,-0.244,-0.932,189,4,37973
2026-01-26 10:05:21,23.95,40.82,,-65,3.069,-0.172,-0.256,-0.92,189,4,37974
2026-01-26 10:05:24,23.96,40.84,,-65,3.069,-0.172,-0.256,-0.916,189,4,37975
2026-01-26 10:05:31,23.97,40.81,,-60,3.055,-0.18,-0.264,-0.916,189,4,37978
2026-01-26 10:05:34,23.97,40.81,,-59,3.055,-0.176,-0.244,-0.924,189,4,37979
2026-01-26 10:05:35,23.97,40.84,,-57,3.055,-0.172,-0.252,-0.912,189,4,37980
2026-01-26 10:05:38,23.97,40.82,,-68,3.055,-0.168,-0.26,-0.92,189,4,37981
2026-01-26 10:05:40,23.99,40.84,,-61,3.055,-0.168,-0.252,-0.924,189,4,37982
2026-01-26 10:05:44,23.97,40.84,,-62,3.055,-0.18,-0.264,-0.924,189,4,37983
2026-01-26 10:05:49,23.99,40.85,,-71,3.055,-0.176,-0.26,-0.92,189,4,37985
2026-01-26 10:05:52,24,40.87,,-66,3.055,-0.176,-0.26,-0.932,189,4,37986
2026-01-26 10:05:54,23.99,40.87,,-63,3.055,-0.172,-0.26,-0.916,189,4,37987
2026-01-26 10:05:57,23.99,40.85,,-67,3.055,-0.176,-0.256,-0.932,189,4,37988
2026-01-26 10:05:58,24,40.89,,-78,3.055,-0.172,-0.256,-0.928,189,4,37989
2026-01-26 10:06:06,24.01,40.9,,-72,3.055,-0.176,-0.252,-0.928,189,4,37992
2026-01-26 10:06:09,24.03,40.89,,-63,3.055,-0.176,-0.252,-0.928,189,4,37993
2026-01-26 10:06:11,24.03,40.88,,-78,3.055,-0.172,-0.26,-0.928,189,4,37994
2026-01-26 10:06:14,24.02,40.9,,-66,3.055,-0.172,-0.264,-0.916,189,4,37995
2026-01-26 10:06:18,24.03,40.9,,-60,3.055,-0.172,-0.26,-0.92,189,4,37996
2026-01-26 10:06:19,24.03,40.91,,-65,3.055,-0.176,-0.256,-0.932,189,4,37997
2026-01-26 10:06:21,24.03,40.9,,-59,3.055,-0.172,-0.26,-0.924,189,4,37998
2026-01-26 10:06:27,24.03,40.92,,-61,3.055,-0.172,-0.264,-0.924,189,4,38000
2026-01-26 10:06:29,24.06,40.95,,-59,3.062,-0.164,-0.264,-0.932,189,4,38001
2026-01-26 10:06:32,24.05,40.91,,-67,3.062,-0.164,-0.256,-0.924,189,4,38002
2026-01-26 10:06:34,24.06,40.91,,-62,3.062,-0.168,-0.26,-0.936,189,4,38003
2026-01-26 10:06:38,24.06,40.92,,-62,3.062,-0.172,-0.256,-0.932,189,4,38004
2026-01-26 10:06:39,24.06,40.96,,-63,3.062,-0.16,-0.248,-0.948,189,4,38005
2026-01-26 10:06:42,24.07,40.95,,-63,3.062,-0.168,-0.252,-0.932,189,4,38006
2026-01-26 10:06:45,24.07,40.96,,-66,3.062,-0.18,-0.252,-0.92,189,4,38007
2026-01-26 10:06:47,24.08,40.94,,-74,3.062,-0.168,-0.256,-0.936,189,4,38008
2026-01-26 10:06:50,24.06,40.97,,-61,3.062,-0.172,-0.26,-0.932,189,4,38009
2026-01-26 10:06:52,24.09,40.94,,-66,3.062,-0.172,-0.256,-0.92,189,4,38010
2026-01-26 10:06:56,24.08,40.96,,-61,3.062,-0.176,-0.26,-0.932,189,4,38011
2026-01-26 10:06:57,24.09,40.95,,-61,3.062,-0.176,-0.256,-0.924,189,4,38012
2026-01-26 10:07:00,24.07,40.95,,-70,3.062,-0.168,-0.26,-0.924,189,4,38013
2026-01-26 10:07:03,24.09,40.99,,-61,3.062,-0.172,-0.26,-0.92,189,4,38014
2026-01-26 10:07:05,24.09,40.99,,-67,3.062,-0.172,-0.252,-0.924,189,4,38015
2026-01-26 10:07:08,24.09,40.98,,-73,3.062,-0.176,-0.256,-0.928,189,4,38016
