Time_min,Energy_kWh,Energy_Smooth_kWh
0.75,0.002,0.00444885588843557
1,0.004,0.00542416868380374
1.5,0.006,0.0066828679116611
2,0.008,0.00822732553481234
2.5,0.01,0.0099723694493611
3,0.012,0.0117906314928968
3.5,0.014,0.0136022079316578
4,0.016,0.0152735204552616
4.5,0.017,0.0168269069671295
5,0.018,0.0182958709346209
5.5,0.02,0.0197503034253588
6,0.021,0.0212094158056229
6.5,0.023,0.0226661161432753
7,0.024,0.0240889530493067
7.5,0.026,0.0254688020069576
8,0.027,0.0267602655729105
8.5,0.028,0.0279674187205176
9,0.029,0.0291252285235394
9.5,0.031,0.0302420829628023
10,0.031,0.031349927559011
10.5,0.032,0.0324726581622417
11,0.034,0.0336179690731316
11.5,0.035,0.0347582329882889
12,0.036,0.0358624692674443
12.5,0.037,0.0369192716503738
13,0.038,0.0379466565495278
13.5,0.039,0.0389555471246065
14,0.04,0.0399555471246065
14.5,0.041,0.0409281622254525
15,0.042,0.0418898541665982
15.5,0.043,0.0428328165213758
16,0.044,0.043749590251441
16.5,0.044,0.044660120711332
17,0.046,0.045561166690202
17.5,0.047,0.0464384360869713
18,0.047,0.0472931251760814
18.5,0.048,0.0481254763617702
19,0.049,0.0489555471246065
19.5,0.05,0.0497760141384463
20,0.051,0.0505700572652807
20.5,0.051,0.0513314332349357
21,0.052,0.0520871683029159
21.5,0.053,0.0528417070964545
22,0.054,0.0535974421644347
22.5,0.054,0.0543403238100144
23,0.055,0.0550871683029159
23.5,0.056,0.0558143221973005
24,0.057,0.0564769794081185
24.5,0.057,0.0570314374924593
25,0.058,0.0574495945089645
25.5,0.058,0.057757519814371
26,0.058,0.0580096037489966
26.5,0.058,0.0583273806416304
27,0.058,0.0587874540340432
27.5,0.059,0.0594501112448611
28,0.06,0.0602812535801704
28.5,0.062,0.0612030617300302
29,0.062,0.0621156247745428
29.5,0.063,0.062957814971521
30,0.064,0.0636849688659056
30.5,0.065,0.0642522803726468
31,0.065,0.0646644419572087
31.5,0.065,0.0649733282747639
32,0.065,0.0653184900665517
32.5,0.065,0.0657874540340432
33,0.066,0.0664501112448611
33.5,0.067,0.0672812535801704
34,0.069,0.0682030617300302
34.5,0.069,0.0691156247745428
35,0.07,0.069957814971521
35.5,0.071,0.0706849688659056
36,0.072,0.0712522803726468
36.5,0.072,0.071626838055846
37,0.072,0.071837765035605
37.5,0.072,0.0719424043144689
38,0.072,0.071985319868142
