Time_min,Temp_In_C,Temp_Out_C
-0.216666666666667,22.55,22.6
-0.2,22.54,22.57
-0.183333333333333,22.58,22.62
-0.166666666666667,22.56,22.62
-0.15,22.53,22.64
-0.133333333333333,22.59,22.62
-0.116666666666667,22.57,22.65
-0.1,22.55,22.6
-0.0833333333333333,22.54,22.59
-0.0666666666666667,22.55,22.65
-0.05,22.54,22.64
-0.0333333333333333,22.58,22.65
-0.0166666666666667,22.58,22.66
0,22.52,22.71
0.0166666666666667,22.56,22.54
0.0333333333333333,22.47,22.58
0.05,21.09,22.71
0.0666666666666667,21.57,22.77
0.0833333333333333,22.44,22.47
0.1,22.53,23.31
0.116666666666667,21.97,22.7
0.133333333333333,22.68,22.58
0.15,23.02,22.51
0.166666666666667,22.51,22.91
0.183333333333333,22.94,22.65
0.2,22.44,22.96
0.216666666666667,22.65,23.46
0.233333333333333,22.81,23.78
0.25,22.75,23.93
0.266666666666667,23.08,23.51
0.283333333333333,22.54,25.17
0.3,22.35,25.69
0.316666666666667,22.13,26.09
0.333333333333333,22.52,26.51
0.35,22.82,26.98
0.366666666666667,22.08,27.19
0.383333333333333,22.82,27.94
0.4,22.85,27.74
0.416666666666667,22.69,28.83
0.433333333333333,22.97,28.72
0.45,22.23,29.07
0.466666666666667,22.91,30.04
0.483333333333333,22.25,30.73
0.5,22.79,31.25
0.516666666666667,21.56,31.04
0.533333333333333,21.26,31.86
0.55,17.11,32.9
0.566666666666667,22.54,33.31
0.6,22.96,34.04
0.616666666666667,22.42,34.21
0.633333333333333,22.66,34.73
0.65,22.96,35.22
0.666666666666667,22.72,35.8
0.683333333333333,22.87,35.79
0.7,22.33,36.52
0.716666666666667,22.31,36.75
0.733333333333333,22.51,37.51
0.75,22.49,38.12
0.766666666666667,22.97,38.43
0.783333333333333,22.62,39.35
0.8,19.91,39.31
0.816666666666667,22.65,39.7
0.833333333333333,22.4,40.3
0.85,21.82,40.42
0.866666666666667,22.27,40.78
0.883333333333333,22.87,41.29
0.9,22.83,41.88
0.916666666666667,23,42.41
0.933333333333333,22.85,42.86
0.95,23.11,42.53
0.966666666666667,21.88,43.68
0.983333333333333,22.71,43.26
1,22.48,43.75
1.01666666666667,22.76,45.09
1.03333333333333,22.82,45.28
1.05,22.49,45.34
1.06666666666667,21.86,45.68
1.08333333333333,22.38,45.82
1.1,23.31,45.75
1.11666666666667,22.55,46.91
1.13333333333333,21.99,46.8
1.15,23.14,47.32
1.16666666666667,21.7,47.88
1.18333333333333,22.68,48.73
1.2,22.97,48.51
1.21666666666667,23.02,49.06
1.23333333333333,22.93,49.56
1.25,23.1,49.93
1.26666666666667,23.21,49.82
1.28333333333333,22.85,50.02
1.3,22.45,50.48
1.31666666666667,22.97,50.89
1.33333333333333,23.23,51.5
1.35,23.12,51.64
1.36666666666667,22.19,51.91
1.38333333333333,22.85,52.02
1.4,21.7,52.56
1.41666666666667,23.59,52.47
1.45,20.91,52.63
1.46666666666667,23.2,53.98
1.48333333333333,23.55,53.54
1.5,24.01,53.53
1.51666666666667,23.41,53.9
1.53333333333333,23.54,53.58
1.55,23.15,54.8
1.56666666666667,23.65,55.27
1.58333333333333,23.2,54.57
1.6,23.64,55.05
1.61666666666667,23.57,54.55
1.63333333333333,23.41,55.78
1.65,23.36,56.49
1.66666666666667,23.68,55.93
1.68333333333333,23.86,56.36
1.7,23.24,56.2
1.71666666666667,23.5,57.36
1.73333333333333,24.17,57.29
1.75,24.06,56.54
1.76666666666667,23.77,58.13
1.78333333333333,23.92,58.12
1.8,23.85,57.83
1.81666666666667,23.78,56.83
1.83333333333333,24.36,58.74
1.85,24.38,58.28
1.86666666666667,23.82,58.83
1.88333333333333,23.92,59.17
1.9,24.06,59.33
1.91666666666667,24.01,58.88
1.93333333333333,25.06,60.05
1.95,24.18,60.1
1.96666666666667,24.47,59.99
1.98333333333333,24.58,60.29
2,24.59,59.03
2.01666666666667,24.34,60.93
2.03333333333333,24.69,60.82
2.05,24.76,60.37
2.06666666666667,24.17,61.63
2.08333333333333,24.59,61.56
2.1,23.93,61.3
2.11666666666667,24.14,61.22
2.13333333333333,25.01,61.47
2.15,24.49,62.45
2.16666666666667,24.59,61.44
2.18333333333333,24.68,61.71
2.2,24.93,62.81
2.21666666666667,25.15,62.65
2.23333333333333,24.94,63.01
2.25,24.75,63.07
2.26666666666667,24.6,63.99
2.3,25.26,63.3
2.31666666666667,24.61,63.91
2.33333333333333,25.01,63.96
2.35,24.92,63.52
2.36666666666667,25.32,64.23
2.38333333333333,25.33,64.19
2.4,25.25,64.35
2.41666666666667,25.27,63.34
2.43333333333333,25.45,64.86
2.45,25.41,65.48
2.46666666666667,25.59,64.68
2.48333333333333,25.65,64.76
2.5,25.38,65
2.51666666666667,25.52,65.02
2.53333333333333,25.35,64.72
2.55,25.77,65.8
2.56666666666667,25.76,65.62
2.58333333333333,25.67,65.64
2.6,26.04,66.23
2.61666666666667,25.78,66.21
2.63333333333333,25.59,66.64
2.65,25.96,66.41
2.66666666666667,25.91,66.16
2.68333333333333,26.47,66.58
2.7,25.68,66.1
2.71666666666667,25.97,66.4
2.73333333333333,26.35,66.39
2.75,26.42,67.4
2.76666666666667,26.39,67.82
2.78333333333333,25.91,67.28
2.8,25.97,67.08
2.81666666666667,25.58,67.48
2.83333333333333,26.23,67.65
2.85,26.79,67.91
2.86666666666667,26.44,67.2
2.88333333333333,26.07,68.52
2.9,26.44,68.41
2.91666666666667,26.09,68.57
2.93333333333333,26.51,68.62
2.95,27.07,68.96
2.96666666666667,26.81,68.62
2.98333333333333,27.04,68.92
3,27.06,68.98
3.01666666666667,26.82,70.7
3.03333333333333,27.06,69.02
3.05,27.16,68.39
3.06666666666667,27.18,69.14
3.08333333333333,26.94,69.1
3.1,26.96,70.95
3.11666666666667,27.4,70.1
3.15,27.55,70
3.16666666666667,27.47,69.71
3.18333333333333,27.68,69.63
3.2,27.61,69.89
3.21666666666667,27.67,69.79
3.23333333333333,27.68,70.26
3.25,27.61,70.06
3.26666666666667,27.85,70.41
3.28333333333333,28.04,70.28
3.3,27.97,69.94
3.31666666666667,28.49,69.91
3.33333333333333,28.15,69.51
3.35,28.2,69.71
3.36666666666667,27.98,69.9
3.38333333333333,27.51,68.3
3.4,28.42,69.7
3.41666666666667,28.19,69.05
3.43333333333333,28.21,68.03
3.45,28.48,68.93
3.46666666666667,28.47,69.13
3.48333333333333,28.58,68.36
3.5,28.22,68.25
3.51666666666667,28.54,68.5
3.53333333333333,28.8,68.32
3.55,28.69,68.26
3.56666666666667,28.74,68.23
3.58333333333333,28.94,68.05
3.6,29.49,67.72
3.61666666666667,28.96,67.81
3.63333333333333,28.66,68.12
3.65,28.97,67.77
3.66666666666667,29.33,68.58
3.68333333333333,29.21,68.47
3.7,29.2,68.69
3.71666666666667,29.3,68.79
3.73333333333333,29.17,69.19
3.75,29.16,68.18
3.76666666666667,29.57,68.83
3.78333333333333,29.37,68.88
3.8,29.54,68.6
3.81666666666667,29.91,69.01
3.83333333333333,29.79,68.48
3.85,29.27,69.04
3.86666666666667,29.87,69.48
3.88333333333333,29.68,69.2
3.9,29.48,70.06
3.91666666666667,29.87,69.28
3.93333333333333,29.87,69.43
3.95,30.12,69.81
3.96666666666667,30.2,69.89
4,30.01,69.91
4.01666666666667,29.92,70.03
4.03333333333333,30.31,70.23
4.05,30.13,70
4.06666666666667,30.28,70.18
4.08333333333333,30.42,69.96
4.1,30.57,70.02
4.11666666666667,30.5,69.83
4.13333333333333,30.64,70.2
4.15,30.64,70.8
4.16666666666667,31.05,69.88
4.18333333333333,30.06,69.23
4.2,30.89,70.23
4.21666666666667,30.96,68.84
4.23333333333333,30.91,68.93
4.25,31.49,69.03
4.26666666666667,30.09,68.38
4.28333333333333,31.38,68.19
4.3,31.31,68.24
4.31666666666667,31.28,67.86
4.33333333333333,31.03,67.8
4.35,31.41,68.42
4.36666666666667,31.09,67.21
4.38333333333333,31.46,68.17
4.4,31.72,68.84
4.41666666666667,30.96,68.93
4.43333333333333,31.09,68.19
4.45,32.28,68.79
4.46666666666667,31.51,68.39
4.48333333333333,31.8,67.71
4.5,31.69,68.81
4.51666666666667,32.05,68.75
4.53333333333333,31.66,68.97
4.55,32.26,70.25
4.56666666666667,32.14,69.18
4.58333333333333,32.02,68.91
4.6,32.21,69.14
4.61666666666667,32.1,70.03
4.63333333333333,32.42,68.86
4.65,32.55,69.52
4.66666666666667,32.29,69.99
4.68333333333333,32.22,70.08
4.7,32.75,70.34
4.71666666666667,32.34,70.61
4.73333333333333,32.56,70.69
4.75,32.76,70.53
4.76666666666667,32.54,70.41
4.78333333333333,32.49,70.27
4.8,32.78,70.08
4.81666666666667,32.64,70.07
4.85,32.84,70.25
4.86666666666667,32.83,70.07
4.88333333333333,32.91,70.02
4.9,29.63,69.08
4.91666666666667,32.95,69.62
4.93333333333333,33.18,69.15
4.95,33.45,68.71
4.96666666666667,33.21,69.17
4.98333333333333,33.26,69.08
5,33.78,68.89
5.01666666666667,33.53,67.9
5.03333333333333,33.63,68.11
5.05,33.74,68.14
5.06666666666667,32.79,67.94
5.08333333333333,33.48,67.96
5.1,33.83,68.51
5.11666666666667,33.48,68.07
5.13333333333333,34.4,68.86
5.15,34.36,66.95
5.16666666666667,34.07,68.01
5.18333333333333,33.49,68.1
5.2,33.87,68.42
5.21666666666667,34.12,68.73
5.23333333333333,34.18,69.39
5.25,34.23,68.32
5.26666666666667,34.11,69.09
5.28333333333333,34.18,68.26
5.3,34.4,68.95
5.31666666666667,34.34,69.23
5.33333333333333,33.94,68.82
5.35,34.38,69.82
5.36666666666667,34.4,69.53
5.38333333333333,33.82,69.74
5.4,34.6,70.12
5.41666666666667,34.62,70.06
5.43333333333333,34.61,69.79
5.45,34.45,70.05
5.46666666666667,34.67,70.58
5.48333333333333,34.68,70.56
5.5,35.07,70.54
5.51666666666667,34.65,70.3
5.53333333333333,35.03,70.39
5.55,34.82,70.28
5.56666666666667,35.13,70.01
5.58333333333333,35.47,70.07
5.6,35,69.52
5.61666666666667,34.64,69.88
5.63333333333333,35.28,69.68
5.65,35.41,69.9
5.66666666666667,35.12,68.8
5.7,35.51,68.8
5.71666666666667,35.64,68.44
5.73333333333333,35.65,68.45
5.75,31.35,69.63
5.76666666666667,35.54,68.59
5.78333333333333,35.89,67.94
5.8,35.43,68.2
5.81666666666667,35.67,68.21
5.83333333333333,35.92,68.15
5.85,35.73,68.03
5.86666666666667,35.81,68.31
5.88333333333333,36.15,67.61
5.9,36.03,68.38
5.91666666666667,35.74,68.79
5.93333333333333,36.22,68.35
5.95,36.08,68.56
5.96666666666667,36.55,68.23
5.98333333333333,36.42,68.15
6,36.63,69.19
6.01666666666667,36.89,69.33
6.03333333333333,36.2,69.17
6.05,36.3,69.15
6.06666666666667,36.3,69.23
6.08333333333333,36.91,69.5
6.1,36.68,70.36
6.11666666666667,36.75,69.62
6.13333333333333,36.97,70.14
6.15,36.76,70.28
6.16666666666667,36.79,70.29
6.18333333333333,36.95,70.62
6.2,37.02,70.58
6.21666666666667,37.13,71.24
6.23333333333333,36.83,70.62
6.25,37.27,70.13
6.26666666666667,37.39,70.64
6.28333333333333,37.16,69.92
6.3,37.17,70.14
6.31666666666667,37.11,70.36
6.33333333333333,36.84,70.09
6.35,37.26,69.44
6.36666666666667,36.47,70.2
6.38333333333333,37.95,69.18
6.4,37.54,69.48
6.41666666666667,37.86,69.73
