t[s],kWh
60,0.002
120,0.006
180,0.008
240,0.011
300,0.013
360,0.015
420,0.017
480,0.019
540,0.021
600,0.022
660,0.025
720,0.026
780,0.027
840,0.029
900,0.031
960,0.032
1020,0.033
1080,0.034
1140,0.035
1200,0.037
1260,0.039
1320,0.041
1380,0.042
1440,0.043
1500,0.045
1560,0.047
1620,0.048
1680,0.050
1740,0.051
1800,0.053
1860,0.054
1920,0.055
1980,0.057
2040,0.058
2100,0.060
2160,0.062
2220,0.064
2280,0.066
2340,0.068
2400,0.069
2460,0.070
2520,0.072
2580,0.073
2640,0.075
2700,0.076
2760,0.077
2820,0.078
2880,0.080
2940,0.081
3000,0.082
3060,0.084
3120,0.085
3180,0.086
3240,0.088
3300,0.089
3360,0.090
3420,0.092
3480,0.093
3540,0.095
3600,0.096
3660,0.097
3720,0.098
3780,0.099
3840,0.101
3900,0.102
3960,0.103
4020,0.105
4080,0.105
4140,0.106
4200,0.108
4260,0.109
4320,0.110
4380,0.111
4440,0.112
4500,0.113
4560,0.114
4620,0.116
4680,0.117
4740,0.118
4800,0.119
4860,0.120
4920,0.121
4980,0.122
5040,0.123
5100,0.124
5160,0.125
5220,0.127
