Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-22 11:56:23,22.39,27.09,,,3.175,0.016,-0.008,1,213,4,37159
2026-01-22 12:01:24,22.73,26.98,,,3.132,0.664,0.756,0.24,229,4,37276
2026-01-22 12:04:18,22.78,26.88,,,3.132,0.7,0.736,0.232,238,4,37344
2026-01-22 12:04:21,22.8,26.89,,,3.132,0.692,0.728,0.228,238,4,37345
2026-01-22 12:04:23,22.8,26.89,,,3.132,0.688,0.732,0.232,238,4,37346
2026-01-22 12:04:26,22.8,26.89,,,3.132,0.696,0.732,0.228,238,4,37347
2026-01-22 12:04:28,22.79,26.89,,,3.132,0.692,0.732,0.228,238,4,37348
2026-01-22 12:04:31,22.8,26.86,,,3.132,0.704,0.732,0.232,238,4,37349
2026-01-22 12:04:34,22.81,26.86,,,3.132,0.7,0.724,0.232,238,4,37350
2026-01-22 12:04:36,22.8,26.86,,,3.132,0.692,0.744,0.236,238,4,37351
2026-01-22 12:04:39,22.8,26.87,,,3.132,0.688,0.728,0.228,238,4,37352
2026-01-22 12:04:41,22.79,26.86,,,3.132,0.696,0.732,0.232,238,4,37353
2026-01-22 12:04:47,22.8,26.84,,,3.132,0.692,0.736,0.232,238,4,37355
2026-01-22 12:04:49,22.8,26.87,,,3.132,0.696,0.744,0.232,238,4,37356
2026-01-22 12:04:52,22.81,26.84,,,3.132,0.696,0.732,0.236,238,4,37357
2026-01-22 12:04:54,22.81,26.88,,,3.132,0.688,0.736,0.24,238,4,37358
2026-01-22 12:04:57,22.8,26.86,,,3.132,0.696,0.736,0.232,238,4,37359
2026-01-22 12:04:59,22.81,26.88,,,3.136,0.696,0.732,0.224,238,4,37360
2026-01-22 12:05:02,22.79,26.87,,,3.136,0.696,0.736,0.228,238,4,37361
2026-01-22 12:05:04,22.81,26.86,,,3.136,0.696,0.732,0.224,238,4,37362
2026-01-22 12:05:07,22.8,26.86,,,3.136,0.688,0.728,0.228,238,4,37363
2026-01-22 12:05:10,22.82,26.84,,,3.136,0.692,0.732,0.228,238,4,37364
2026-01-22 12:05:41,22.81,26.84,,,3.136,0.696,0.724,0.228,238,4,37376
2026-01-22 12:05:43,22.82,26.84,,,3.136,0.696,0.732,0.224,238,4,37377
2026-01-22 12:09:11,23.18,27.04,,,3.154,0.692,0.736,0.228,238,4,37458
2026-01-22 12:09:14,23.19,27.04,,,3.154,0.692,0.728,0.232,238,4,37459
2026-01-22 12:14:14,24.85,26.92,,,3.168,-0.932,0.296,-0.068,241,4,37576
2026-01-22 12:17:37,26.21,26.78,,,3.146,-0.928,0.312,-0.064,241,4,37655
2026-01-22 12:17:40,26.23,26.78,,,3.146,-0.928,0.296,-0.072,241,4,37656
2026-01-22 12:22:08,28.26,26.26,,,3.178,-0.932,0.272,-0.068,242,4,37760
2026-01-22 12:22:10,28.28,26.22,,,3.178,-0.936,0.276,-0.068,242,4,37761
2026-01-22 12:22:13,28.29,26.23,,,3.178,-0.936,0.272,-0.072,242,4,37762
2026-01-22 12:27:13,30.6,25.43,,,3.164,-0.948,0.224,-0.072,244,4,37879
2026-01-22 12:27:21,30.67,25.4,,,3.164,-0.94,0.224,-0.068,244,4,37882
2026-01-22 12:27:26,30.71,25.36,,,3.164,-0.948,0.224,-0.076,244,4,37884
2026-01-22 12:27:28,30.7,25.37,,,3.164,-0.948,0.224,-0.072,244,4,37885
2026-01-22 12:30:41,32.12,24.8,,,3.154,-0.948,0.204,-0.068,244,4,37960
2026-01-22 12:30:44,32.13,24.8,,,3.154,-0.944,0.204,-0.076,244,4,37961
2026-01-22 12:30:46,32.17,24.78,,,3.154,-0.944,0.204,-0.076,244,4,37962
2026-01-22 12:30:49,32.17,24.79,,,3.154,-0.952,0.204,-0.072,244,4,37963
2026-01-22 12:34:17,33.46,24.15,,,3.154,-0.944,0.208,-0.072,244,4,38044
2026-01-22 12:34:20,33.48,24.13,,,3.154,-0.944,0.204,-0.064,244,4,38045
2026-01-22 12:34:22,33.49,24.13,,,3.154,-0.952,0.208,-0.076,244,4,38046
2026-01-22 12:36:28,34.22,23.8,,,3.175,-0.956,0.204,-0.072,244,4,38095
2026-01-22 12:36:31,34.24,23.77,,,3.175,-0.948,0.196,-0.076,244,4,38096
2026-01-22 12:36:34,34.24,23.77,,,3.175,-0.948,0.208,-0.068,244,4,38097
2026-01-22 12:36:36,34.28,23.78,,,3.175,-0.952,0.204,-0.068,244,4,38098
2026-01-22 12:36:39,34.27,23.78,,,3.175,-0.944,0.204,-0.068,244,4,38099
2026-01-22 12:36:41,34.31,23.75,,,3.175,-0.952,0.204,-0.076,244,4,38100
2026-01-22 12:36:44,34.31,23.76,,,3.175,-0.948,0.2,-0.072,244,4,38101
2026-01-22 12:36:46,34.33,23.73,,,3.175,-0.948,0.208,-0.072,244,4,38102
2026-01-22 12:36:49,34.34,23.7,,,3.175,-0.944,0.204,-0.068,244,4,38103
2026-01-22 12:36:51,34.36,23.7,,,3.175,-0.956,0.208,-0.068,244,4,38104
2026-01-22 12:36:54,34.37,23.71,,,3.175,-0.952,0.2,-0.072,244,4,38105
2026-01-22 12:36:56,34.38,23.71,,,3.175,-0.94,0.2,-0.06,244,4,38106
2026-01-22 12:36:59,34.4,23.71,,,3.175,-0.944,0.204,-0.076,244,4,38107
2026-01-22 12:37:02,34.41,23.7,,,3.175,-0.952,0.2,-0.072,244,4,38108
2026-01-22 12:37:04,34.43,23.68,,,3.175,-0.948,0.204,-0.076,244,4,38109
2026-01-22 12:37:07,34.43,23.67,,,3.175,-0.948,0.204,-0.08,244,4,38110
2026-01-22 12:37:09,34.46,23.66,,,3.161,-0.948,0.208,-0.072,244,4,38111
2026-01-22 12:37:12,34.47,23.66,,,3.161,-0.948,0.204,-0.076,244,4,38112
2026-01-22 12:37:14,34.48,23.66,,,3.161,-0.944,0.208,-0.068,244,4,38113
2026-01-22 12:37:17,34.49,23.67,,,3.161,-0.948,0.204,-0.068,244,4,38114
2026-01-22 12:38:03,34.75,23.54,,,3.161,-0.952,0.196,-0.072,244,4,38132
