Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-22 08:18:45,21.1,28.18,,,3.129,0.02,0,1,98,4,32078
2026-01-22 08:18:48,21.09,28.18,,,3.129,0.02,-0.004,0.996,98,4,32079
2026-01-22 08:18:50,21.09,28.18,,,3.129,0.024,-0.008,1.004,98,4,32080
2026-01-22 08:21:57,21.32,30.36,,,3.136,0.508,0.908,0.06,126,4,32153
2026-01-22 08:22:00,21.31,30.37,,,3.136,0.5,0.916,0.06,126,4,32154
2026-01-22 08:22:03,21.31,30.38,,,3.136,0.508,0.912,0.06,126,4,32155
2026-01-22 08:22:05,21.31,30.39,,,3.136,0.504,0.912,0.056,126,4,32156
2026-01-22 08:22:08,21.31,30.39,,,3.136,0.504,0.912,0.06,126,4,32157
2026-01-22 08:22:11,21.32,30.41,,,3.136,0.512,0.908,0.052,126,4,32158
2026-01-22 08:22:13,21.31,30.39,,,3.136,0.5,0.912,0.056,126,4,32159
2026-01-22 08:22:16,21.32,30.44,,,3.136,0.508,0.908,0.056,126,4,32160
2026-01-22 08:23:02,21.32,30.64,,,3.125,0.716,0.756,0.052,128,4,32178
2026-01-22 08:23:05,21.33,30.61,,,3.125,0.716,0.752,0.056,128,4,32179
2026-01-22 08:25:02,21.59,31.21,,,3.052,0.708,0.764,0.056,128,4,32225
2026-01-22 08:25:05,21.6,31.22,,,3.052,0.716,0.76,0.044,128,4,32226
2026-01-22 08:25:08,21.6,31.22,,,3.052,0.712,0.756,0.056,128,4,32227
2026-01-22 08:25:10,21.63,31.21,,,3.052,0.712,0.748,0.056,128,4,32228
2026-01-22 08:25:13,21.62,31.23,,,3.052,0.716,0.756,0.056,128,4,32229
2026-01-22 08:28:05,22.56,31.62,,,3.143,0.712,0.756,0.056,128,4,32296
2026-01-22 08:28:08,22.58,31.61,,,3.143,0.708,0.756,0.052,128,4,32297
2026-01-22 08:28:10,22.6,31.62,,,3.143,0.704,0.756,0.052,128,4,32298
2026-01-22 08:28:13,22.62,31.63,,,3.143,0.708,0.756,0.052,128,4,32299
2026-01-22 08:28:16,22.64,31.67,,,3.143,0.708,0.76,0.052,128,4,32300
2026-01-22 08:28:18,22.64,31.62,,,3.143,0.712,0.756,0.04,128,4,32301
2026-01-22 08:28:20,22.66,31.65,,,3.143,0.708,0.752,0.06,128,4,32302
2026-01-22 08:28:23,22.69,31.64,,,3.143,0.712,0.76,0.06,128,4,32303
2026-01-22 08:28:25,22.7,31.65,,,3.143,0.712,0.752,0.056,128,4,32304
2026-01-22 08:28:28,22.73,31.65,,,3.143,0.716,0.756,0.056,128,4,32305
2026-01-22 08:28:31,22.74,31.63,,,3.143,0.708,0.752,0.048,128,4,32306
2026-01-22 08:28:34,22.74,31.62,,,3.143,0.708,0.752,0.052,128,4,32307
2026-01-22 08:28:36,22.78,31.64,,,3.143,0.712,0.752,0.056,128,4,32308
2026-01-22 08:28:39,22.79,31.63,,,3.143,0.708,0.756,0.056,128,4,32309
2026-01-22 08:28:42,22.81,31.66,,,3.143,0.712,0.756,0.052,128,4,32310
2026-01-22 08:28:44,22.84,31.64,,,3.143,0.708,0.756,0.056,128,4,32311
2026-01-22 08:29:07,23,31.66,,,3.129,0.712,0.748,0.056,128,4,32320
2026-01-22 08:29:09,23.03,31.65,,,3.129,0.712,0.752,0.06,128,4,32321
