Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-21 15:50:57,23.56,28.03,,-68,3.09,0.756,-0.312,0.624,179,4,8915
2026-01-21 15:50:59,23.57,27.98,,-61,3.09,0.76,-0.312,0.628,179,4,8916
2026-01-21 15:51:02,23.57,27.93,,-72,3.09,0.756,-0.308,0.62,179,4,8917
2026-01-21 15:51:05,23.58,27.88,,-64,3.09,0.764,-0.312,0.628,179,4,8918
2026-01-21 15:51:12,23.61,27.79,,-74,3.09,0.764,-0.312,0.616,179,4,8921
2026-01-21 15:51:16,23.62,27.79,,-73,3.09,0.764,-0.32,0.624,179,4,8922
2026-01-21 15:51:20,23.64,27.71,,-74,3.09,0.756,-0.316,0.632,179,4,8924
2026-01-21 15:51:23,23.67,27.7,,-68,3.09,0.76,-0.316,0.624,179,4,8925
2026-01-21 15:51:25,23.66,27.67,,-68,3.09,0.76,-0.312,0.616,179,4,8926
2026-01-21 15:51:28,23.69,27.66,,-90,3.09,0.76,-0.316,0.62,179,4,8927
2026-01-21 15:51:33,23.69,27.6,,-67,3.09,0.76,-0.312,0.628,179,4,8929
2026-01-21 15:51:35,23.71,27.59,,-67,3.09,0.76,-0.312,0.62,179,4,8930
2026-01-21 15:51:43,23.74,27.53,,-90,3.118,0.76,-0.316,0.628,179,4,8933
2026-01-21 15:57:12,24.34,27.97,,-71,3.122,0.8,-0.332,0.56,205,4,9061
2026-01-21 15:57:15,24.33,27.97,,-71,3.122,0.796,-0.34,0.548,205,4,9062
2026-01-21 15:57:17,24.32,27.96,,-73,3.122,0.8,-0.332,0.548,205,4,9063
2026-01-21 15:57:20,24.35,27.97,,-73,3.122,0.792,-0.332,0.56,205,4,9064
2026-01-21 15:57:25,24.33,27.99,,-83,3.122,0.792,-0.332,0.544,205,4,9066
2026-01-21 15:57:27,24.35,27.99,,-67,3.122,0.8,-0.328,0.564,205,4,9067
2026-01-21 15:57:31,24.36,27.98,,-79,3.122,0.796,-0.332,0.564,205,4,9068
2026-01-21 15:57:34,24.36,27.99,,-75,3.122,0.788,-0.332,0.56,205,4,9069
2026-01-21 15:57:35,24.39,28.03,,-71,3.122,0.792,-0.336,0.56,205,4,9070
2026-01-21 15:57:39,24.39,28,,-77,3.122,0.796,-0.34,0.556,205,4,9071
2026-01-21 15:57:40,24.41,28.03,,-82,3.122,0.792,-0.328,0.556,205,4,9072
2026-01-21 15:57:47,24.46,28.03,,-66,3.118,0.8,-0.328,0.552,205,4,9074
2026-01-21 15:57:49,24.46,28,,-69,3.118,0.804,-0.324,0.556,205,4,9075
2026-01-21 15:57:53,24.49,28.03,,-65,3.118,0.788,-0.332,0.556,205,4,9077
2026-01-21 15:57:58,24.53,28.03,,-69,3.118,0.804,-0.336,0.568,205,4,9079
2026-01-21 15:58:02,24.56,28.06,,-66,3.118,0.792,-0.328,0.556,205,4,9080
2026-01-21 15:59:35,26.35,27.6,,-70,3.129,0.8,-0.332,0.54,206,4,9116
2026-01-21 15:59:37,26.45,27.58,,-64,3.129,0.8,-0.324,0.544,206,4,9117
2026-01-21 15:59:39,26.51,27.56,,-64,3.129,0.8,-0.332,0.556,206,4,9118
2026-01-21 15:59:41,26.6,27.52,,-81,3.129,0.796,-0.336,0.548,206,4,9119
2026-01-21 15:59:46,26.76,27.49,,-67,3.132,0.8,-0.336,0.544,206,4,9121
2026-01-21 16:03:40,38.32,23.32,,-70,3.136,0.812,-0.34,0.556,206,4,9212
2026-01-21 16:03:44,38.51,23.28,,-81,3.136,0.812,-0.332,0.556,206,4,9213
2026-01-21 16:03:45,38.64,23.22,,-74,3.136,0.812,-0.336,0.564,206,4,9214
2026-01-21 16:03:48,38.8,23.18,,-73,3.143,0.812,-0.336,0.556,206,4,9215
2026-01-21 16:03:50,38.96,23.12,,-69,3.143,0.804,-0.332,0.56,206,4,9216
2026-01-21 16:03:53,39.08,23.08,,-71,3.143,0.812,-0.328,0.552,206,4,9217
2026-01-21 16:03:56,39.25,23.02,,-72,3.143,0.812,-0.332,0.556,206,4,9218
2026-01-21 16:03:58,39.42,22.95,,-68,3.143,0.812,-0.332,0.56,206,4,9219
2026-01-21 16:04:01,39.54,22.89,,-66,3.143,0.812,-0.34,0.552,206,4,9220
2026-01-21 16:07:55,52.46,19.14,,-69,3.129,0.82,-0.336,0.56,208,4,9311
2026-01-21 16:07:58,52.55,19.12,,-71,3.129,0.82,-0.332,0.568,208,4,9312
2026-01-21 16:08:00,52.69,19.07,,-67,3.129,0.812,-0.332,0.564,208,4,9313
2026-01-21 16:08:02,52.82,19.08,,-88,3.129,0.82,-0.332,0.56,208,4,9314
2026-01-21 16:08:05,52.92,19.08,,-75,3.129,0.82,-0.336,0.556,208,4,9315
2026-01-21 16:08:07,53.06,19.01,,-74,3.129,0.82,-0.328,0.568,208,4,9316
2026-01-21 16:08:10,53.21,18.98,,-81,3.129,0.82,-0.336,0.568,208,4,9317
2026-01-21 16:08:14,53.3,18.94,,-80,3.129,0.816,-0.332,0.564,208,4,9318
2026-01-21 16:08:15,53.44,18.93,,-83,3.129,0.824,-0.336,0.568,208,4,9319
2026-01-21 16:08:18,53.59,18.88,,-70,3.129,0.816,-0.328,0.56,208,4,9320
2026-01-21 16:08:20,53.66,18.84,,-70,3.129,0.816,-0.336,0.56,208,4,9321
2026-01-21 16:08:23,53.8,18.87,,-73,3.129,0.816,-0.328,0.564,208,4,9322
2026-01-21 16:12:31,63.99,16.75,,-76,3.139,0.712,-0.308,-0.66,218,4,9418
