Datum,Temperatur (°C),Feuchtigkeit (°C),Druck (hPa),RSSI (dBm),Spannung (V),Beschleunigung X (g),Beschleunigung Y (g),Beschleunigung Z (g),Bewegungszähler (Bewegungen),TX-Leistung (dBm),Messsequenznummer
2026-01-21 15:51:08,23.35,31.26,,-79,3.139,0.036,0,1.02,228,4,8970
2026-01-21 15:51:11,23.34,31.28,,-71,3.139,0.028,0,1.02,228,4,8971
2026-01-21 15:51:16,23.34,31.27,,-79,3.139,0.036,0,1.02,228,4,8973
2026-01-21 15:51:19,23.35,31.24,,-69,3.139,0.032,0.004,1.016,228,4,8974
2026-01-21 15:51:22,23.32,31.27,,-71,3.139,0.032,0.008,1.016,228,4,8975
2026-01-21 15:51:24,23.34,31.3,,-76,3.139,0.028,0,1.024,228,4,8976
2026-01-21 15:51:26,23.32,31.28,,-72,3.139,0.036,0.004,1.024,228,4,8977
2026-01-21 15:51:29,23.32,31.27,,-74,3.139,0.028,0,1.02,228,4,8978
2026-01-21 15:51:33,23.32,31.27,,-74,3.136,0.028,0,1.02,228,4,8979
2026-01-21 15:51:34,23.32,31.26,,-73,3.136,0.028,0,1.024,228,4,8980
2026-01-21 15:51:37,23.32,31.26,,-75,3.136,0.036,0,1.02,228,4,8981
2026-01-21 15:51:39,23.31,31.28,,-77,3.136,0.032,-0.004,1.02,228,4,8982
2026-01-21 15:51:43,23.32,31.28,,-75,3.136,0.032,0.008,1.012,228,4,8983
2026-01-21 15:51:46,23.32,31.3,,-67,3.136,0.032,0,1.02,228,4,8984
2026-01-21 15:57:13,23.19,32.67,,-68,3.139,1.04,-0.028,-0.036,1,4,9112
2026-01-21 15:57:16,23.2,32.68,,-71,3.139,1.032,-0.028,-0.04,1,4,9113
2026-01-21 15:57:20,23.2,32.69,,-69,3.139,1.04,-0.02,-0.04,1,4,9114
2026-01-21 15:57:21,23.21,32.69,,-71,3.139,1.036,-0.02,-0.04,1,4,9115
2026-01-21 15:57:25,23.2,32.69,,-66,3.139,1.032,-0.016,-0.04,1,4,9116
2026-01-21 15:57:26,23.19,32.7,,-75,3.139,1.036,-0.02,-0.04,1,4,9117
2026-01-21 15:57:29,23.21,32.71,,-77,3.139,1.04,-0.024,-0.04,1,4,9118
2026-01-21 15:57:31,23.2,32.7,,-77,3.139,1.04,-0.024,-0.036,1,4,9119
2026-01-21 15:57:35,23.2,32.72,,-65,3.132,1.036,-0.024,-0.048,1,4,9120
2026-01-21 15:57:36,23.21,32.74,,-70,3.132,1.04,-0.024,-0.04,1,4,9121
2026-01-21 15:57:39,23.2,32.76,,-62,3.132,1.04,-0.024,-0.04,1,4,9122
2026-01-21 15:57:42,23.2,32.75,,-69,3.132,1.036,-0.024,-0.036,1,4,9123
2026-01-21 15:57:48,23.2,32.76,,-67,3.132,1.036,-0.028,-0.04,1,4,9125
2026-01-21 15:57:49,23.21,32.77,,-67,3.132,1.032,-0.02,-0.04,1,4,9126
2026-01-21 15:57:52,23.21,32.77,,-79,3.132,1.036,-0.028,-0.04,1,4,9127
2026-01-21 15:57:54,23.21,32.8,,-71,3.132,1.036,-0.02,-0.044,1,4,9128
2026-01-21 15:59:35,23.36,33.08,,-66,3.143,1.032,-0.032,-0.04,2,4,9167
2026-01-21 15:59:37,23.38,33.07,,-78,3.143,1.036,-0.036,-0.04,2,4,9168
2026-01-21 15:59:40,23.4,33.09,,-71,3.143,1.04,-0.032,-0.044,2,4,9169
2026-01-21 15:59:42,23.39,33.1,,-72,3.143,1.04,-0.04,-0.044,2,4,9170
2026-01-21 15:59:45,23.4,33.1,,-79,3.143,1.04,-0.032,-0.044,2,4,9171
2026-01-21 15:59:47,23.4,33.07,,-70,3.143,1.036,-0.032,-0.036,2,4,9172
2026-01-21 16:03:39,23.42,33.11,,-74,3.143,1.032,-0.032,-0.04,2,4,9173
2026-01-21 16:03:40,24.67,33.32,,-72,3.143,1.04,-0.036,-0.04,2,4,9262
2026-01-21 16:03:44,24.71,33.3,,-73,3.143,1.04,-0.036,-0.04,2,4,9264
2026-01-21 16:03:48,24.74,33.35,,-74,3.143,1.036,-0.04,-0.04,2,4,9265
2026-01-21 16:03:50,24.74,33.32,,-67,3.143,1.036,-0.044,-0.04,2,4,9266
2026-01-21 16:03:52,24.78,33.33,,-76,3.143,1.044,-0.04,-0.04,2,4,9267
2026-01-21 16:03:54,24.79,33.32,,-78,3.143,1.04,-0.036,-0.032,2,4,9268
2026-01-21 16:03:58,24.82,33.3,,-75,3.143,1.04,-0.036,-0.044,2,4,9269
2026-01-21 16:03:59,24.84,33.33,,-81,3.143,1.036,-0.04,-0.04,2,4,9270
2026-01-21 16:07:54,26.88,32.88,,-76,3.143,1.04,-0.04,-0.048,3,4,9361
2026-01-21 16:07:58,26.93,32.87,,-88,3.143,1.036,-0.036,-0.044,3,4,9363
2026-01-21 16:08:01,26.96,32.89,,-75,3.143,1.04,-0.048,-0.044,3,4,9364
2026-01-21 16:08:03,26.97,32.86,,-77,3.143,1.036,-0.04,-0.036,3,4,9365
2026-01-21 16:08:06,27,32.85,,-74,3.143,1.036,-0.04,-0.044,3,4,9366
2026-01-21 16:08:10,27.02,32.85,,-83,3.143,1.036,-0.04,-0.04,3,4,9367
2026-01-21 16:08:11,27.05,32.85,,-74,3.143,1.036,-0.04,-0.04,3,4,9368
2026-01-21 16:08:14,27.07,32.83,,-97,3.143,1.04,-0.044,-0.04,3,4,9369
2026-01-21 16:08:16,27.1,32.81,,-72,3.143,1.048,-0.044,-0.044,3,4,9370
2026-01-21 16:08:19,27.12,32.8,,-76,3.143,1.04,-0.048,-0.036,3,4,9371
2026-01-21 16:08:21,27.14,32.79,,-73,3.143,1.044,-0.04,-0.04,3,4,9372
2026-01-21 16:08:24,27.17,32.79,,-66,3.143,1.044,-0.048,-0.04,3,4,9373
2026-01-21 16:12:31,29.49,32.15,,-79,3.157,0.256,-1.02,-0.004,17,4,9469
2026-01-21 16:12:33,29.52,32.13,,-76,3.157,0.264,-1.024,0.004,17,4,9470
2026-01-21 16:12:37,29.53,32.15,,-82,3.157,0.26,-1.024,-0.004,17,4,9471
2026-01-21 16:12:38,29.54,32.11,,-73,3.157,0.264,-1.024,0.004,17,4,9472
2026-01-21 16:12:41,29.58,32.11,,-72,3.139,0.264,-1.024,0,17,4,9473
