Exp,Sensor,Rate,R2
Exp 1,Bottom Sensor,-0.219367447955819,0.983271305338662
Exp 1,Metal Sheet (Heater),-0.544646865981022,0.998515264384971
Exp 1,Top Sensor,-0.181397069466718,0.982376600319036
Exp 1,NTC Internal (Bulk),-0.973669666488626,0.993525754371339
Exp 1,NTC Outside (Heater),-0.979854613624832,0.936566275626935
Exp 2,Bottom Sensor,-0.180411080997187,0.980841260997204
Exp 2,Metal Sheet (Heater),-0.840668881902356,0.994906085503036
Exp 2,Top Sensor,-0.147737725690872,0.978281454245081
Exp 2,NTC Internal (Bulk),-1.07584851287175,0.993392168833261
Exp 2,NTC Outside (Heater),-0.930194940966565,0.90745037905993
Exp 3,Bottom Sensor,-0.167372847239634,0.946639531986281
Exp 3,Metal Sheet (Heater),-0.803098356184032,0.987476357384266
Exp 3,Top Sensor,-0.151876525394685,0.955242531068452
Exp 3,NTC Internal (Bulk),-1.07481869013667,0.993478315019729
Exp 3,NTC Outside (Heater),-0.825797168884086,0.938534180522224
Exp 4,Bottom Sensor,-0.180985127874,0.986958645798917
Exp 4,Metal Sheet (Heater),-0.766665482237608,0.996960352583026
Exp 4,Top Sensor,-0.165037322616535,0.979492808173797
Exp 4,NTC Internal (Bulk),-0.896225420179867,0.985032542105868
Exp 4,NTC Outside (Heater),-0.688891162695395,0.921175443650097
